field_name;field_label_en;field_label_ar
top_3_reasons_not_attend_school;Top 3 reasons for boys and girls not attending school;
top_3_reasons_not_attend_school/other;-;
top_3_reasons_not_attend_school_other;Other (please specify);
avg_time_reach_functional_food_market;Average minutes for MOST site residents to reach a functional FOOD market place or grocery store with normal mode of local transport (travelling one way)?;
avg_time_reach_functional_nfi_market;Average minutes for MOST site residents to reach a functional market for NFIs and construction material with normal mode of local transport (travelling one way);
items_not_available_affordable_market;In the past month, were there any items that are not available OR not affordable at the market that site residents need?;
items_not_available_affordable_market/other;-;
items_not_available_affordable_market_other;Other (please specify);
basic_food_items;Basic food items -situation In the past month;
drinking_water;Drinking water-situation In the past month;
basic_family_items;Basic family items (e.g. mattress, blankets, kitchen utensils) - -situation In the past month;
tools_hardware_and_construction_materials;Tools, hardware and construction materials -situation In the past month;
hygiene_items;Hygiene items -situation In the past month;
feminine_hygiene_items;Feminine hygiene items -situation In the past month;
basic_medicine;Basic medicine -situation In the past month;
fuel;Fuel -situation In the past month;
affordable_items_other;Other - -situation In the past month;
physical_barrier_access_market;In the past month, did site residents face any physical barriers to consistently accessing markets?;
physical_barrier_access_market/other;-;
physical_barrier_access_market_other;Other (please specify);
social_barrier_access_market;In the past month, did site residents face any social barriers to consistently accessing markets?;
social_barrier_access_market/other;-;
social_barrier_access_market_other;Other (please specify);
barrier_access_cash_for_essential_items;In the last month, did site residents face any barriers to access sufficient cash required to purchase essential items?;
barrier_access_cash_for_essential_items/other;-;
barrier_access_cash_for_essential_items_other;Other (please specify);
main_source_electricity;Main source of electricity in the site;
main_source_electricity/other;-;
main_source_electricity_other;Other (please specify);
info_days_hours_electricity_available;Do you know In the last month, on average, how many days \ hours per day, was electricity available in the camp?;
nb_hours_per_day;Average hours per day;
nb_days_per_month;Average days per month with access to electricity;
proportion_shelters_functional_electrical_connection;What proportion of shelters in the camp have functional electrical connections?;
proportion_site_residents_functional_internet;Proportion of site residents with access to functional internet;
proportion_site_residents_functional_mobile_radio_network;Proportion of site residents with access to functional mobile\radio network;
rrm_distributions;RRM distributions - Proportion of households received assistance in last month;
food_distributions;Food distributions - Proportion of households received assistance in last month;
non_food_item_distributions;Non-food item distributions - Proportion of households received assistance in last month;
nutrition_services;Nutrition services - Proportion of households received assistance in last month;
shelter_maintenance_services;Shelter/maintenance services - Proportion of households received assistance in last month;
wash_services;WASH services - Proportion of households received assistance in last month;
waste_disposal_services;Waste disposal services - Proportion of households received assistance in last month;
healthcare_services;Healthcare services - Proportion of households received assistance in last month;
protection_services;Protection services - Proportion of households received assistance in last month;
education_services;Education services - Proportion of households received assistance in last month;
livelihoods_services;Livelihoods services - Proportion of households received assistance in last month;
cash_distributions_multi_purpose;Cash distributions (multi-purpose) Proportion of households received assistance in last month;
site_maintenance;Site maintenance - Proportion of households received assistance in last month;
security_safety_drr;Security / safety & DRR - Proportion of households received assistance in last month;
rrm_distributions_2;RRM distributions - Proportion of households in need inlast month;
food_distributions_2;Food distributions - Proportion of households in need inlast month;
non_food_item_distributions_2;Non-food item distributions - Proportion of households in need inlast month;
nutrition_services_2;Nutrition services - Proportion of households in need inlast month;
shelter_maintenance_services_2;Shelter/maintenance services - Proportion of households in need inlast month;
wash_services_2;WASH services - Proportion of households in need inlast month;
waste_disposal_services_2;Waste disposal services - Proportion of households in need inlast month;
healthcare_services_2;Healthcare services - Proportion of households in need inlast month;
protection_services_2;Protection services - Proportion of households in need inlast month;
education_services_2;Education services - Proportion of households in need inlast month;
livelihoods_services_2;Livelihoods services - Proportion of households in need inlast month;
cash_distributions_multi_purpose_2;Cash distributions (multi-purpose) - Proportion of households in need inlast month;
site_maintenance_2;Site maintenance - Proportion of households in need inlast month;
security_safety_drr_2;Security / safety & DRR - Proportion of households in need inlast month;
protection_services_3;Protection services - priority items/services that are missing;
protection_services_3/other;-;
protection_services_3_other;Other (please specify);
rrm_distributions_3;RRM distributions -  priority items/services that are missing;
rrm_distributions_3/other;-;
rrm_distributions_3_other;Other (please specify);
food_distributions_3;Food distributions -  priority items/services that are missing;
food_distributions_3/other;-;
food_distributions_3_other;Other (please specify);
non_food_item_distributions_3;Non-food item distributions -  priority items/services that are missing;
non_food_item_distributions_3/other;-;
non_food_item_distributions_3_other;Other (please specify);
nutrition_services_3;Nutrition services -  priority items/services that are missing;
nutrition_services_3/other;-;
nutrition_services_3_other;Other (please specify);
shelter_maintenance_services_3;Shelter\maintenance services -  priority items/services that are missing;
shelter_maintenance_services_3/other;-;
shelter_maintenance_services_3_other;Other (please specify);
healthcare_services_3;Healthcare services -  priority items/services that are missing;
healthcare_services_3/other;-;
healthcare_services_3_other;Other (please specify);
wash_services_3;WASH services -  priority items/services that are missing;
wash_services_3/other;-;
wash_services_3_other;Other (please specify);
waste_disposal_services_3;Waste disposal services -  priority items/services that are missing;
waste_disposal_services_3/other;-;
waste_disposal_services_3_other;Other (please specify);
education_services_3;Education services -  priority items/services that are missing;
education_services_3/other;-;
education_services_3_other;Other (please specify);
livelihoods_services_3;Livelihoods services -  priority items/services that are missing;
livelihoods_services_3/other;-;
livelihoods_services_3_other;Other (please specify);
site_maintenance_3;Site maintenance -  priority items/services that are missing;
site_maintenance_3/other;-;
site_maintenance_3_other;Other (please specify);
security_safety_drr_3;Security \ Safety & DRR -  priority items/services that are missing;
security_safety_drr_3/other;-;
security_safety_drr_3_other;Other (please specify);
rrm_distributions_orgnization_type;RRM distributions - Service provider;
food_distributions_orgnization_type;Food distributions - Service provider;
non_food_item_distributions_orgnization_type;Non-food item distributions  - Service provider;
nutrition_services_orgnization_type;Nutrition services - Service provider;
shelter_maintenance_services_orgnization_type;Shelter\maintenance services - Service provider;
wash_services_orgnization_type;WASH services - Service provider;
waste_disposal_services_orgnization_type;Waste disposal services - Service provider;
healthcare_services_orgnization_type;Healthcare services - Service provider;
protection_services_orgnization_type;Protection services - Service provider;
education_services_orgnization_type;Education services - Service provider;
livelihoods_services_orgnization_type;Livelihoods services - Service provider;
cash_distributions_multi_purpose_orgnization_type;Cash distributions (multi-purpose) - Service provider;
site_maintenance_orgnization_type;Site maintenance - Service provider;
security_safety_drr_orgnization_type;Security \ safety & DRR - Service provider;
rrm_distributions_un_ngo_name;RRM distributions - UN / NGO Name;
food_distributions_un_ngo_name;Food distributions - UN / NGO Name;
non_food_item_distributions_un_ngo_name;Non-food item distributions - UN / NGO Name;
nutrition_services_un_ngo_name;Nutrition services - UN / NGO Name;
shelter_maintenance_services_un_ngo_name;Shelter\maintenance services - UN / NGO Name;
wash_services_un_ngo_name;WASH services - UN / NGO Name;
waste_disposal_services_un_ngo_name;Waste disposal services - UN / NGO Name;
healthcare_services_un_ngo_name;Healthcare services - UN / NGO Name;
protection_services_un_ngo_name;Protection services - UN / NGO Name;
education_services_un_ngo_name;Education services -UN / NGO Name;
livelihoods_services_un_ngo_name;Livelihoods services - UN / NGO Name;
cash_distributions_multi_purpose_un_ngo_name;Cash distributions (multi-purpose) - UN / NGO Name;
site_maintenance_un_ngo_name;Site maintenance - UN / NGO Name;
security_safety_drr_un_ngo_name;Security \ safety & DRR - UN / NGO Name;
rrm_distributions_frequency;RRM distributions frequency;
rrm_distributions_frequency_other;Other (please specify);
food_distributions_frequency;Food distributions frequency;
food_distributions_frequency_other;Other (please specify);
non_food_item_distributions_frequency;Non-food item distributions frequency;
non_food_item_distributions_frequency_other;Other (please specify);
nutrition_services_frequency;Nutrition services frequency;
nutrition_services_frequency_other;Other (please specify) frequency;
shelter_maintenance_services_frequency;Shelter\maintenance services frequency;
shelter_maintenance_services_frequency_other;Other (please specify);
wash_services_frequency;WASH services frequency;
wash_services_frequency_other;Other (please specify);
waste_disposal_services_frequency;Waste disposal services frequency;
waste_disposal_services_frequency_other;Other (please specify);
healthcare_services_frequency;Healthcare services frequency;
healthcare_services_frequency_other;Other (please specify);
protection_services_frequency;Protection services frequency;
protection_services_frequency_other;Other (please specify);
education_services_frequency;Education services frequency;
education_services_frequency_other;Other (please specify);
livelihoods_services_frequency;Livelihoods services frequency;
livelihoods_services_frequency_other;Other (please specify);
cash_distributions_multi_purpose_frequency;Cash distributions (multi-purpose) frequency;
cash_distributions_multi_purpose_frequency_other;Other (please specify);
site_maintenance_frequency;Site maintenance frequency;
site_maintenance_frequency_other;Other (please specify);
security_safety_drr_frequency;Security \ safety & DRR frequency;
security_safety_drr_frequency_other;Other (please specify);
sectoral_response_camp_management;Camp Management;
sectoral_response_cash_distributions_multi_purpose_4;Cash distributions (multi-purpose);
sectoral_response_education_2;Education;
sectoral_response_food;Food;
sectoral_response_health_2;Health;
sectoral_response_livelihoods;Livelihoods;
sectoral_response_non_food_items;Non-Food Items;
sectoral_response_nutrition;Nutrition;
sectoral_response_protection_2;Protection;
sectoral_response_rrrm;RRRM;
sectoral_response_safety_security;Safety & Security;
sectoral_response_shelter;Shelter;
sectoral_response_site_maintenance_5;Site Maintenance;
sectoral_response_wash_2;WASH;
pop_groups_impediments_access_hum_activities;For any of the following groups, are there any impediments to accessing humanitarian activities?;
pop_groups_impediments_access_hum_activities/other;-;
pop_groups_impediments_access_hum_activities_other;Other (please specify);
barriers_faced_access_hum_aid;In the past month, what were the barriers that MOST site residents faced when trying to access humanitarian aid, if any?;
barriers_faced_access_hum_aid/other;-;
barriers_faced_access_hum_aid_other;Other (please specify);
fully;In the last month,  site residents were satisfied (Fully) with the humanitarian assistance provided in the site;
partially;In the last month,  site residents were satisfied (Partially) with the humanitarian assistance provided in the site;
not_satisfied;In the last month,  site residents were satisfied (Not satisfied) with the humanitarian assistance provided in the site;
comments;Comments;
